response_id,job_role,job_description_keywords,question,run_label,response_text,relevance_score_1_to_5,keyword_coverage_pct,notes
rel1,Behavioral,dataannotation;contribute;developing;cutting-edge;systems;while;enjoying;flexibility,"Can you describe a situation where you had to collaborate with a team to solve a complex problem, such as the Datathon Project where you led a team to predict customer churn? How did you ensure that your team was working effectively together and what was the outcome of the project?",baseline,"Situation:
During a Datathon project, my team was tasked with predicting customer churn using a large, messy dataset with missing values, inconsistent formats, and a mix of numerical and categorical features.
Task:
As the team lead, my responsibility was not only to guide the technical approach but also to ensure the team collaborated efficiently under a tight deadline.
Action:
I started by breaking the problem into clear components—data cleaning, feature engineering, modeling, and evaluation—so everyone had ownership of a specific area. I assigned roles based on each member’s strengths (for example, someone strong in Python handled preprocessing, while another focused on model tuning).
To keep collaboration effective:
I set up short daily check-ins to track progress and quickly unblock issues
We used a shared GitHub repo to maintain clean version control and avoid conflicts
I encouraged open communication, so if someone was stuck, we’d quickly problem-solve as a group
I also made sure we aligned on a common evaluation metric early (like F1-score), so everyone was optimizing toward the same goal
On the technical side, I guided the team in handling missing data, encoding categorical variables, and testing multiple models like logistic regression and random forests. When results plateaued, I suggested feature engineering ideas, which significantly improved performance.
Result:
We built a model that achieved strong predictive accuracy and ranked among the top teams in the competition. More importantly, our workflow was smooth and efficient—we avoided last-minute chaos because everyone was aligned and accountable. The project strengthened my ability to lead collaborative, data-driven teams while balancing both technical depth and team coordination.",1.8,36.0,Auto-seeded from raw relevance_score and job description text.
rel2,Behavioral,dataannotation;contribute;developing;cutting-edge;systems;while;enjoying;flexibility,"Can you provide more specific quantitative outcomes from the Datathon project, such as the actual F1-score achieved by your model and how it compared to the top-performing teams, to better understand the impact of your team's efforts?",baseline,"Suggested rewrite: During the Datathon project, my team was tasked with predicting customer churn using a large, messy dataset. As the team lead, I broke down the Suggested rewrite: During the Datathon project, my team was tasked with predicting customer churn using a large, messy dataset. As the team lead, I broke down the problem into clear components and assigned roles based on each member's strengths. To ensure effective collaboration, I set up daily check-ins, used a shared GitHub repo, and encouraged open communication. We aligned on a common evaluation metric, such as the F1-score, and I guided the team in handling missing data and testing multiple models. Through feature engineering and model tuning, we achieved a 25% improvement in predictive accuracy and ranked 2nd out of 20 teams. This experience taught me the importance of balancing technical depth and team coordination, and I learned to prioritize open communication and clear goal-setting to drive team success.problem into clear components and assigned roles based on each member's strengths. To ensure effective collaboration, I set up daily check-ins, used a shared GitHub repo, and encouraged open communication. We aligned on a common evaluation metric, such as the F1-score, and I guided the team in handling missing data and testing multiple models. Through feature engineering and model tuning, we achieved a 25% improvement in predictive accuracy and ranked 2nd out of 20 teams. This experience taught me the importance of balancing technical depth and team coordination, and I learned to prioritize open communication and clear goal-setting to drive team success.Suggested rewrite: During the Datathon project, my team was tasked with predicting customer churn using a large, messy dataset. As the team lead, I broke down the problem into clear components and assigned roles based on each member's strengths. To ensure effective collaboration, I set up daily check-ins, used a shared GitHub repo, and encouraged open communication. We aligned on a common evaluation metric, such as the F1-score, and I guided the team in handling missing data and testing multiple models. Through feature engineering and model tuning, we achieved a 25% improvement in predictive accuracy and ranked 2nd out of 20 teams. This experience taught me the importance of balancing technical depth and team coordination, and I learned to prioritize open communication and clear goal-setting to drive team success.",1.43,28.57,Auto-seeded from raw relevance_score and job description text.
rel3,Behavioral,description;quaker;houghton;invites;apply;internship;located;conshohocken,Tell me about a time you had to prioritize multiple competing tasks under pressure.,baseline,"I had multiple project deadlines during my internship, so I listed tasks by urgency and impact, broke them into smaller steps, and used a schedule to stay on track. I communicated progress regularly and adjusted priorities when needed, which helped me meet all deadlines without compromising quality.",1.67,33.33,Auto-seeded from raw relevance_score and job description text.
rel4,Technical,description;quaker;houghton;invites;apply;internship;located;conshohocken,"How would you use JavaScript to develop a real-time data visualization dashboard for monitoring the performance of IoT devices in a metal fabrication factory, and what libraries or frameworks would you use to implement this solution?",baseline,"As a Software Developer Intern for QH Fluid Intelligence and R&D Platforms, you’ll be part of our diverse global team making a significant impact on our organization. You will use your analytical thinking skills combined with your experience in applying design patterns and best practices, structured and disciplined development processes and engineering principles to developing robust, scalable and maintainable solutions that are user friendly and support business priorities.

Our FI products are installed and used by factories that uses metals, forms and deforms metals by forging, forming, cutting, fabrication including automobiles to beverage cans that you use every day. You will analyze, design, program, debug, modify, test and implement software used in local, networked, cloud-based IoT Devices and connected applications for Fluid Intelligence.",1.19,23.81,Auto-seeded from raw relevance_score and job description text.
rel5,Technical,description;quaker;houghton;invites;apply;internship;located;conshohocken,What is the difference between null and undefined in JavaScript?,baseline,"As a Software Developer Intern for QH Fluid Intelligence and R&D Platforms, you’ll be part of our diverse global team making a significant impact on our organization. You will use your analytical thinking skills combined with your experience in applying design patterns and best practices, structured and disciplined development processes and engineering principles to developing robust, scalable and maintainable solutions that are user friendly and support business priorities.

Our FI products are installed and used by factories that uses metals, forms and deforms metals by forging, forming, cutting, fabrication including automobiles to beverage cans that you use every day. You will analyze, design, program, debug, modify, test and implement software used in local, networked, cloud-based IoT Devices and connected applications for Fluid Intelligence.",1.0,0.0,Auto-seeded from raw relevance_score and job description text.
rel6,Behavioral,description;quaker;houghton;invites;apply;internship;located;conshohocken,Tell me about a time you had to prioritize multiple competing tasks under pressure.,improved,"During my Datathon project, I had model development, data cleaning, and team coordination all due the same week. I prioritized by impact—focused first on cleaning data (since everything depended on it), then model building, while delegating smaller tasks to teammates. We met the deadline and achieved strong prediction accuracy.",1.11,22.22,Auto-seeded from raw relevance_score and job description text.
rel7,Behavioral,description;quaker;houghton;invites;apply;internship;located;conshohocken,Tell me about a time you had to prioritize multiple competing tasks under pressure.,improved,"During my Datathon project, I had model development, data cleaning, and team coordination all due the same week. I prioritized by impact—focused first on cleaning data (since everything depended on it), then model building, while delegating smaller tasks to teammates. We met the deadline and achieved strong prediction accuracy.",1.11,22.22,Auto-seeded from raw relevance_score and job description text.
rel8,Behavioral,description;quaker;houghton;invites;apply;internship;located;conshohocken,"Can you design and explain a Python-based data pipeline to analyze sensor data from IoT devices in a manufacturing setting, such as a metal fabrication factory, and how you would handle potential issues with data quality and scalability?",baseline,"Yes, I can build a Python IoT pipeline where sensor data is ingested via Kafka, cleaned and processed using Pandas/Spark, and used to train ML models like XGBoost or LSTM for failure prediction. Data quality is handled through imputation, outlier removal, and filtering, while scalability is ensured using distributed processing and cloud storage.",1.52,30.43,Auto-seeded from raw relevance_score and job description text.
rel9,Behavioral,description;quaker;houghton;invites;apply;internship;located;conshohocken,"Describe a scenario where you have to handle missing or inconsistent data in a manufacturing setting, such as a metal fabrication factory, and walk me through your approach to identify, clean, and preprocess the data using Python, ensuring that the resulting dataset is reliable and suitable for analysis or modeling.",baseline,"I would use Python (Pandas) to first detect missing values, duplicates, and outliers in sensor data from machines. Then I would clean it using imputation, remove inconsistencies, and standardize the data so it is ready for analysis or ML.",1.07,21.43,Auto-seeded from raw relevance_score and job description text.
rel10,Behavioral,description;quaker;houghton;invites;apply;internship;located;conshohocken,"Can you elaborate on the specific Python libraries and functions you would use for imputation, handling outliers, and standardizing the data, and how you would evaluate the quality of the preprocessed data to ensure it's reliable for analysis or modeling?",baseline,"I would use Pandas for imputation like fillna(), NumPy or Pandas for outliers like IQR method and scikit-learn for standardization using StandardScaler.

To check data quality, I would re-verify missing values, check summary statistics, visualize distributions, and ensure the data looks consistent and stable before feeding it into a model.",1.67,33.33,Auto-seeded from raw relevance_score and job description text.
