response_id,question,run_label,gives_reasoning,includes_examples,includes_tradeoffs,depth_score_1_to_5,notes
d1,"Can you describe a situation where you had to collaborate with a team to solve a complex problem, such as the Datathon Project where you led a team to predict customer churn? How did you ensure that your team was working effectively together and what was the outcome of the project?",baseline,1,1,0,5.0,Auto-seeded from raw depth_score + answer heuristics.
d2,"Can you provide more specific quantitative outcomes from the Datathon project, such as the actual F1-score achieved by your model and how it compared to the top-performing teams, to better understand the impact of your team's efforts?",baseline,0,0,0,5.0,Auto-seeded from raw depth_score + answer heuristics.
d3,Tell me about a time you had to prioritize multiple competing tasks under pressure.,baseline,0,0,0,1.93,Auto-seeded from raw depth_score + answer heuristics.
d4,"How would you use JavaScript to develop a real-time data visualization dashboard for monitoring the performance of IoT devices in a metal fabrication factory, and what libraries or frameworks would you use to implement this solution?",baseline,0,0,0,3.83,Auto-seeded from raw depth_score + answer heuristics.
d5,What is the difference between null and undefined in JavaScript?,baseline,0,0,0,3.83,Auto-seeded from raw depth_score + answer heuristics.
d6,Tell me about a time you had to prioritize multiple competing tasks under pressure.,improved,0,0,0,1.98,Auto-seeded from raw depth_score + answer heuristics.
d7,Tell me about a time you had to prioritize multiple competing tasks under pressure.,improved,0,0,0,1.98,Auto-seeded from raw depth_score + answer heuristics.
d8,"Can you design and explain a Python-based data pipeline to analyze sensor data from IoT devices in a manufacturing setting, such as a metal fabrication factory, and how you would handle potential issues with data quality and scalability?",baseline,0,0,0,2.08,Auto-seeded from raw depth_score + answer heuristics.
d9,"Describe a scenario where you have to handle missing or inconsistent data in a manufacturing setting, such as a metal fabrication factory, and walk me through your approach to identify, clean, and preprocess the data using Python, ensuring that the resulting dataset is reliable and suitable for analysis or modeling.",baseline,0,0,0,1.73,Auto-seeded from raw depth_score + answer heuristics.
d10,"Can you elaborate on the specific Python libraries and functions you would use for imputation, handling outliers, and standardizing the data, and how you would evaluate the quality of the preprocessed data to ensure it's reliable for analysis or modeling?",baseline,0,0,0,2.0,Auto-seeded from raw depth_score + answer heuristics.
d11,"Design a Python-based system to monitor and handle data quality issues in real-time for IoT sensor data from a metal fabrication factory, ensuring that the data is reliable and suitable for analysis or modeling, and explain how you would implement data validation, data cleansing, and data standardization using Python libraries such as Pandas and Scikit-learn.",baseline,0,0,0,1.0,Auto-seeded from raw depth_score + answer heuristics.
d12,"How would you handle data quality issues, such as missing or inconsistent values, in a dataset of IoT sensor readings from a metal fabrication factory, and what Python libraries or functions would you use to clean and preprocess the data for analysis or modeling?",baseline,0,0,0,1.23,Auto-seeded from raw depth_score + answer heuristics.
d13,"Can you explain how you would approach data preprocessing for IoT sensor data in a metal fabrication factory, specifically focusing on handling missing values and outliers, and what Python libraries or functions you would use to ensure the data is reliable and suitable for analysis or modeling?",baseline,0,0,0,3.1,Auto-seeded from raw depth_score + answer heuristics.
d14,"Can you walk me through your process for handling missing or inconsistent data in a dataset, specifically focusing on the use of Python libraries such as Pandas and NumPy, and how you would evaluate the quality of the preprocessed data to ensure it's reliable for analysis or modeling?",baseline,0,0,0,1.57,Auto-seeded from raw depth_score + answer heuristics.
d15,"Describe a scenario where you have to preprocess IoT sensor data from a metal fabrication factory for analysis, focusing on handling missing values and outliers. Explain how you would use Python libraries such as Pandas and Scikit-learn to ensure the data quality, and discuss the importance of data standardization in this context.",baseline,0,0,0,1.0,Auto-seeded from raw depth_score + answer heuristics.
d16,"Design a Python-based data pipeline to collect and process sensor data from IoT devices used in metal fabrication factories, considering factors such as data frequency, storage, and potential errors. How would you ensure the pipeline is scalable, maintainable, and supports business priorities?",improved,0,0,0,2.05,Auto-seeded from raw depth_score + answer heuristics.
d17,"Can you describe a scenario where you had to analyze and design a software solution for a real-world problem, such as predicting customer churn or optimizing production control, and how you applied design patterns and best practices to develop a robust and maintainable solution using Python?",improved,0,0,0,1.0,Auto-seeded from raw depth_score + answer heuristics.
d18,"Can you walk me through your process for breaking down a complex problem into manageable components, and how you would apply this process to a scenario where you need to analyze and optimize the performance of a software application, such as one used in Fluid Intelligence or R&D Platforms, using tools like Python or JavaScript?",improved,0,0,0,1.0,Auto-seeded from raw depth_score + answer heuristics.
d19,"Can you describe a situation where you had to learn and apply a new programming language or technology, such as Python or JavaScript, to solve a real-world problem or complete a project, and how you overcame any challenges you encountered during the process?",improved,0,0,0,1.0,Auto-seeded from raw depth_score + answer heuristics.
d20,"Can you describe a scenario where you had to integrate data from multiple sources, such as IoT devices and databases, to develop a predictive model for optimizing metal fabrication processes, and how you would use languages like Python or Java to implement this solution, ensuring it is scalable, maintainable, and provides real-time insights?",baseline,0,0,0,1.27,Auto-seeded from raw depth_score + answer heuristics.
d21,"Can you describe a situation where you had to integrate data from multiple sources, such as IoT devices, databases, and APIs, to develop a software solution, and how you handled data inconsistencies, missing values, or formatting issues using programming languages like Python or Java?",baseline,0,0,0,1.0,Auto-seeded from raw depth_score + answer heuristics.
d22,"Can you design a software solution to monitor and analyze the performance of metal fabrication machines in real-time, using IoT sensor data and implementing data visualization techniques, and how would you use Python or JavaScript to develop this solution, ensuring it is scalable, maintainable, and provides actionable insights for process optimization?",improved,0,0,0,1.0,Auto-seeded from raw depth_score + answer heuristics.
d23,"How would you optimize the performance of a Python application that uses a database to store and retrieve large amounts of data, considering factors such as query optimization, indexing, and connection pooling?",improved,0,0,0,1.0,Auto-seeded from raw depth_score + answer heuristics.
